molecule_chembl_id,canonical_smiles,standard_value
CHEMBL80976,Oc1ccc(C2=c3ccc4n3C3C(=CC=4)CCCCC23)cc1,25.0
CHEMBL80470,CCc1c(-c2cccc(O)c2)c2ccc3cccc1n32,370.0
CHEMBL308754,CCc1c(-c2ccccc2)c2ccc3c(O)ccc1n32,180.0
CHEMBL420017,CCc1c(-c2ccc(O)cc2)c2ccc3cccc1n32,9.5
CHEMBL407164,CCc1c(-c2ccc(O)cc2)c2ccc3ccc(CO)c1n32,12.0
CHEMBL80560,Oc1ccc(C2=c3ccc4n3C3C(=CC=4)CCCC23)cc1,30.0
CHEMBL76909,CCc1c(-c2ccc(O)cc2)c2ccc3cc(O)cc1n32,0.9
CHEMBL308872,Cc1c(-c2ccc(O)cc2)c2ccc3cccc1n32,28.0
CHEMBL312655,CC(C)c1c(-c2ccc(O)cc2)c2ccc3cccc1n32,8.0
CHEMBL80983,Oc1ccc(-c2cc3cccc4ccc2n43)cc1,700.0
CHEMBL1908373,CN(C)c1ccc([C@H]2C[C@]3(C)[C@@H](CC[C@]3(O)CCCO)[C@@H]3CCC4=CC(=O)CCC4=C32)cc1,1000.0
CHEMBL162569,C[C@@H]1c2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,10000.0
CHEMBL351465,C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,10000.0
CHEMBL350932,Oc1cc(C(F)(F)F)c2cc3c(cc2n1)N[C@@H]1CCCC[C@H]31,10000.0
CHEMBL161892,CN1c2cc3c(cc2[C@H]2CCCC[C@H]21)c(C(F)(F)F)cc(=O)n3C,10000.0
CHEMBL423620,CC1(C)CCC[C@]2(C)c3cc4c(C(F)(F)F)cc(O)nc4cc3N[C@H]12,10000.0
CHEMBL176509,O=C(C1=C(c2ccc(O)cc2)CCc2cc(O)ccc21)c1ccc(OCCN2CCCCC2)cc1,73.0
CHEMBL2112949,Oc1ccc2c3c(ccc2c1)-c1ccccc1C3c1ccc(OCCN2CCCCC2)cc1,740.0
CHEMBL2112950,Oc1ccc2c(c1)C(c1ccc(OCCN3CCCCC3)cc1)c1c-2ccc2cc(O)ccc12,125.0
CHEMBL367432,O=C(C1=C(c2ccccc2)CCc2cc(O)ccc21)c1ccc(OCCN2CCCCC2)cc1,1650.0
CHEMBL163425,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N[C@@H]1CCCC[C@H]31,10000.0
CHEMBL351447,C[C@]12CCCC[C@H]1Nc1cc3nc(O)cc(C(F)(F)F)c3cc12,10000.0
CHEMBL10030,O=C(c1ccc(OCCN2CCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,120.0
CHEMBL165803,C[C@H]1CC[C@H]2Nc3cc4c(cc3[C@H]2C1)c(C(F)(F)F)cc(=O)n4C,10000.0
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1000.0
CHEMBL62700,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/Br)Oc1ccc(F)cc1-3,1000.0
CHEMBL65929,CC1=CC(C)(C)Nc2ccc3c(c21)C(=C1SCCCS1)Oc1ccc(F)cc1-3,631.0
CHEMBL292284,CC(=O)C[C@]1(C(C)=O)CC[C@H]2C3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,1000.0
CHEMBL65690,CC(C)=C/C=C1\Oc2ccc(F)cc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,1000.0
CHEMBL1628161,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,2.5
CHEMBL150735,O=C(c1ccc(SCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,0.9
CHEMBL423035,O=C(c1ccc(S(=O)(=O)CCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,30.0
CHEMBL150970,CN(CCN1CCCCC1)c1ccc(C(=O)c2c(-c3ccc(O)cc3)sc3cc(O)ccc23)cc1,10.0
CHEMBL146765,COc1ccc(-c2sc3cc(OC)ccc3c2C(=O)c2ccc(S(=O)(=O)CCN3CCCCC3)cc2)cc1,1000.0
CHEMBL151318,O=C(c1ccc(CCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,10.0
CHEMBL151400,COc1ccc(-c2sc3cc(OC)ccc3c2C(=O)c2ccc(CCCN3CCCCC3)cc2)cc1,1000.0
CHEMBL150492,O=C(c1ccc(NCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,2.0
CHEMBL51093,C=C1CC[C@@H](Br)C(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,10000.0
CHEMBL50023,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,10000.0
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,10000.0
CHEMBL417729,C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,10000.0
CHEMBL51639,C=C1CC[C@@H](Br)C(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,10000.0
CHEMBL2112311,CC[C@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C,3100.0
CHEMBL6843,CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,10000.0
CHEMBL2112312,CC[C@@H]1c2cc3c(C(F)(F)F)cc(=O)oc3cc2NC[C@H]1C,10000.0
CHEMBL415289,CC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,10000.0
CHEMBL7289,CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,10000.0
CHEMBL2112310,CC[C@@H]1CNc2cc3oc(=O)cc(C(F)(F)F)c3cc2[C@H]1CC,10000.0
CHEMBL6654,CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C,10000.0
CHEMBL6441,CC1=CC(C)(C)Nc2cc3oc(=O)cc(C(F)(F)F)c3cc21,10000.0
CHEMBL267270,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F,10000.0
CHEMBL6855,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,10000.0
CHEMBL38222,CCCCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(O)cc1,240.0
CHEMBL38103,CC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(O)cc1,15.0
CHEMBL34709,Oc1ccc(C=C(c2ccc(O)cc2)c2ccc(O)cc2)cc1,200.0
CHEMBL37775,CCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(O)cc1,10.0
CHEMBL38266,CCCC(=C(c1ccc(O)cc1)c1ccc(O)cc1)c1ccc(O)cc1,70.0
CHEMBL13245,CCCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,3200.0
CHEMBL276204,CCCCCCCC/C=C(/c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,3500.0
CHEMBL12711,CCCCCCCCCCCCCC/C=C(/c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,8000.0
CHEMBL12710,CCCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN2CCCC2)cc1,3300.0
CHEMBL13273,CCCCCC=C(c1ccc(OCCN(CC)CC)cc1)c1ccc(OCCN(CC)CC)cc1,6000.0
CHEMBL13167,CC(C)N(CCOc1ccc(C(=C2CCCCC2)c2ccc(OCCN(C(C)C)C(C)C)cc2)cc1)C(C)C,2100.0
CHEMBL273902,CCN(CC)CCOc1ccc(/C(=C/C(C)C)c2ccc(O)cc2)cc1,1700.0
CHEMBL13494,CCCCCCCCCCCCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,9500.0
CHEMBL13251,CCN(CC)CCOc1ccc(/C(=C\Cc2ccccc2)c2ccc(O)cc2)cc1,1300.0
CHEMBL12867,CCN(CC)CCOc1ccc(/C(=C/Cc2ccccc2)c2ccc(O)cc2)cc1,1700.0
CHEMBL13289,CCN(CC)CCOc1ccc(/C(=C\C(C)C)c2ccc(O)cc2)cc1,500.0
CHEMBL12865,CCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,1500.0
CHEMBL269420,CCCCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,2500.0
CHEMBL13490,CCCCCCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,4700.0
CHEMBL1237293,CCCC/C(CC)=C(/c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1.CCCC/C(CC)=C(\c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,150.0
CHEMBL13510,CCCCCC/C=C(/c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,1900.0
CHEMBL269227,CCCCC/C=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1,1500.0
CHEMBL13489,CCCCC/C=C(/c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,900.0
CHEMBL12959,CCCC/C=C(/c1ccc(O)cc1)c1ccc(OCCN(CC)CC)cc1,500.0
CHEMBL273663,CC(C)N(CCOc1ccc(C(=C2CCCCC2)c2ccc(O)cc2)cc1)C(C)C,200.0
CHEMBL13163,CC(C)C=C(c1ccc(OCCN(C(C)C)C(C)C)cc1)c1ccc(OCCN(C(C)C)C(C)C)cc1,3100.0
CHEMBL13081,CCCCC/C=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1,1800.0
CHEMBL117887,COc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL116464,CC(=O)Nc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL424623,CCCNc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,14000.0
CHEMBL119088,CNc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL117277,CCCCNc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL116344,N#Cc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL117688,CCNc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL116026,Nc1cccc2oc(-c3ccc(O)cc3)cc(=O)c12,18000.0
CHEMBL116514,CN(C)c1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL117587,Nc1cccc2oc(-c3ccc(NCc4ccccc4)cc3)cc(=O)c12,100000.0
CHEMBL443540,Nc1cccc2oc(-c3ccccc3)cc(=O)c12,100000.0
CHEMBL115811,Nc1cccc2oc(-c3ccc(Br)cc3)cc(=O)c12,100000.0
CHEMBL56415,Nc1ccc(-c2cc(=O)c3c(N)cccc3o2)cc1,100000.0
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,990.0
CHEMBL1628147,C[C@]12C[C@H](CCCCNC(=O)CBr)[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,320.0
CHEMBL1628165,C[C@]12C[C@H](CCCCOS(C)(=O)=O)[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,6.0
CHEMBL303196,CN(C)CCOc1ccc(/C(=C(/CCO)c2ccccc2)c2ccccc2)cc1,7.0
CHEMBL1627458,Cc1ccc(S(=O)(=O)OCCCCCCCCCC[C@H]2C[C@]3(C)[C@@H](O)CC[C@H]3[C@@H]3CCc4cc(O)ccc4[C@@H]23)cc1,4.0
CHEMBL1627893,C[C@]12C[C@H](CCCCBr)[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.0
CHEMBL137103,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cc(F)ccc1F)Oc1ccccc1-3,10000.0
CHEMBL134421,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1ccccc1-3,10000.0
CHEMBL342426,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccc(F)c(F)c1)Oc1ccccc1-3,10000.0
CHEMBL32812,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1cccc(F)c1)Oc1ccccc1-3,10000.0
CHEMBL302362,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1C)Oc1ccccc1-3,20.0
CHEMBL136322,CC1(C)OC(=O)Nc2ccc(-c3cc(F)cc(C#N)c3)cc21,10000.0
CHEMBL343306,CC1(C)OC(=O)Nc2ccc(-c3ccc(F)c(Cl)c3)cc21,10000.0
CHEMBL47217,CCOC(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,50.0
CHEMBL416268,NC(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,200.0
CHEMBL297996,COC(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,50.0
CHEMBL46921,CN(C)C(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,20.0
CHEMBL297549,C=Cc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,7.0
CHEMBL45107,CCOP(=O)(OCC)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,200.0
CHEMBL171483,COC(=O)c1ccc(-c2sc3ccccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,1000.0
CHEMBL170427,CCCCOC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,40.0
CHEMBL353709,COC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccccc3)sc2c1,1000.0
CHEMBL170884,CNC(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,40.0
CHEMBL170995,COC(=O)c1ccc(-c2sc3cc(C(=O)OC)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,1000.0
CHEMBL416088,CC(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,32.0
CHEMBL297813,CC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,60.0
CHEMBL297830,CCOP(=O)(OCC)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,210.0
CHEMBL297782,NC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,1000.0
CHEMBL47811,C#Cc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,20.0
CHEMBL169162,COC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,30.0
CHEMBL295540,O=C(O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,325.0
CHEMBL43779,C#Cc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,0.8
CHEMBL170001,N#Cc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,8.0
CHEMBL355304,CC(C)COC(=O)c1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc2c1,40.0
CHEMBL556034,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2cc(O)ccc12,2.5
CHEMBL295907,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(-c3ccccc3)cc2)sc2cc(O)ccc12,100.0
CHEMBL544964,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(Cl)cc2)sc2cc(O)ccc12,1.0
CHEMBL47358,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)c(F)cc12,3.0
CHEMBL44643,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2cc[n+]([O-])cc2)sc2cc(O)ccc12,100.0
CHEMBL46937,CCCCc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,10.0
CHEMBL296526,COc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc4c(c3)OCO4)sc2c1,500.0
CHEMBL44797,Cc1cc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc(C)c1O,100.0
CHEMBL47944,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(C2CCCCC2)sc2cc(O)ccc12,2.5
CHEMBL416810,CCc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,5.0
CHEMBL45461,CNC(=O)c1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1.O=C(O)C(F)(F)F,40.0
CHEMBL42018,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccncc2)sc2cc(O)ccc12,100.0
CHEMBL45120,CCSCc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1,100.0
CHEMBL296759,Cc1c(O)cc(C)c2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc12,100.0
CHEMBL47821,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)c(Cl)c2)sc2cc(O)ccc12,2.3
CHEMBL46806,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2O)sc2cc(O)ccc12,10.0
CHEMBL44158,COc1cc(O)ccc1-c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,2.0
CHEMBL44940,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2cccc3ccccc23)sc2cc(O)ccc12,0.8
CHEMBL540790,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(F)cc2)sc2cc(O)ccc12,2.3
CHEMBL44792,COc1ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccccc3)sc2c1,1000.0
CHEMBL296875,CC(C)c1sc2cc(O)ccc2c1C(=O)c1ccc(OCCN2CCCCC2)cc1,3.0
CHEMBL538986,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccccc2)sc2ccccc12,300.0
CHEMBL544251,Cc1ccc(-c2sc3cc(O)ccc3c2C(=O)c2ccc(OCCN3CCCCC3)cc2)cc1.Cl,50.0
